paper_id,cluster_id,cluster_label,umap_x,umap_y
10345,0,Shared Medium Coordination,53.9000,73.2360
10347,0,Shared Medium Coordination,49.6206,72.6736
10358,0,Shared Medium Coordination,52.2497,76.5462
10366,0,Shared Medium Coordination,51.1839,76.5208
10379,0,Shared Medium Coordination,55.8070,72.7506
10380,0,Shared Medium Coordination,52.1434,73.3743
10383,0,Shared Medium Coordination,58.2488,70.0216
10412,0,Shared Medium Coordination,50.8959,72.6473
10416,0,Shared Medium Coordination,49.8426,84.5394
10452,0,Shared Medium Coordination,49.5330,72.6096
10494,0,Shared Medium Coordination,58.0761,73.1421
10514,0,Shared Medium Coordination,49.4908,72.8804
10531,0,Shared Medium Coordination,52.4572,74.9711
10547,0,Shared Medium Coordination,49.4219,82.9365
10548,0,Shared Medium Coordination,49.5826,84.8852
10560,0,Shared Medium Coordination,53.0764,72.4037
10616,0,Shared Medium Coordination,59.1911,88.0769
10669,0,Shared Medium Coordination,60.6940,69.1453
10671,0,Shared Medium Coordination,55.1959,71.3470
10699,0,Shared Medium Coordination,43.2921,68.9045
10792,0,Shared Medium Coordination,48.8253,72.5417
10903,0,Shared Medium Coordination,60.3105,69.3552
11030,0,Shared Medium Coordination,49.5089,84.8990
11128,0,Shared Medium Coordination,88.9293,51.3029
11173,0,Shared Medium Coordination,91.2095,60.8696
11209,0,Shared Medium Coordination,89.2049,53.4248
11220,0,Shared Medium Coordination,89.6754,54.4097
11227,0,Shared Medium Coordination,91.1593,61.0323
11291,0,Shared Medium Coordination,87.4081,49.4289
11314,0,Shared Medium Coordination,37.4630,49.8836
11315,0,Shared Medium Coordination,62.1173,34.2825
11332,0,Shared Medium Coordination,90.0671,58.9843
11387,0,Shared Medium Coordination,81.2056,62.7573
11391,0,Shared Medium Coordination,91.0791,61.0093
11509,0,Shared Medium Coordination,90.0236,59.4177
11514,0,Shared Medium Coordination,89.3779,59.0217
11525,0,Shared Medium Coordination,86.4183,57.8156
11528,0,Shared Medium Coordination,91.4852,61.9870
11529,0,Shared Medium Coordination,80.7374,61.4322
